ts,ram_used_mb,ram_total_mb,ram_pct,cpu_idle_pct,tcp_estab,uvicorn_fds,oom_events
1779211866,878,2972,29.5,93.8,39,9,"0
0"
1779211878,1282,2972,43.1,71.0,519,9,"0
0"
1779211890,1734,2972,58.3,,,,
1779211933,,,,,,,
1779211983,,,,,,,
1779212034,,,,,,,
1779212084,,,,,,,
1779212121,,,,,,,
1779212131,,,,,,,
1779212141,,,,,,,
1779212151,,,,,,,
1779212166,,,,,,,
1779212176,,,,,,,
1779212186,,,,,,,
1779212196,,,,,,,
1779212206,,,,,,,
1779212216,,,,,,,
1779212226,,,,,,,
1779212236,,,,,,,
1779212246,,,,,,,
1779212256,,,,,,,
1779212266,,,,,,,
1779212276,,,,,,,
1779212286,,,,,,,
1779212296,,,,,,,
1779212306,,,,,,,
1779212316,,,,,,,
1779212326,,,,,,,
1779212336,,,,,,,
1779212346,,,,,,,
1779212356,,,,,,,
1779212366,,,,,,,
1779212376,,,,,,,
1779212386,,,,,,,
1779212396,,,,,,,
1779212406,,,,,,,
1779212416,,,,,,,
1779212426,,,,,,,
1779212436,,,,,,,
1779212446,,,,,,,
1779212456,,,,,,,
1779212466,,,,,,,
1779212476,,,,,,,
1779212486,,,,,,,
1779212496,,,,,,,
1779212506,,,,,,,
1779212516,,,,,,,
1779212526,,,,,,,
1779212537,,,,,,,
